TAZ,block_group_id,Residential_Units,TouristAccommodation_Units,CommercialFloorArea_SqFt,Total_Res_Units,Total_TA_Units,Total_CommercialFloorArea_SqFt,Residential_Units_Proportion,TouristAccommodation_Units_Proportion,CommercialFloorArea_SqFt_Proportion
9,60170316013.0,325,1401,34890,325,1401,34890,1.0,1.0,1.0
10,60170316013.0,2,1299,216955,2,1299,216955,1.0,1.0,1.0
10,60170316021.0,0,0,0,2,1299,216955,0.0,0.0,0.0
11,60170316013.0,285,678,28828,285,678,28828,1.0,1.0,1.0
12,60170316011.0,487,54,50087,1107,259,55597,0.4399277326106594,0.2084942084942085,0.9008939331258881
12,60170316012.0,242,193,0,1107,259,55597,0.2186088527551942,0.7451737451737451,0.0
12,60170316021.0,112,0,0,1107,259,55597,0.1011743450767841,0.0,0.0
12,60170316022.0,266,12,5510,1107,259,55597,0.24028906955736223,0.04633204633204633,0.09910606687411191
13,60170316012.0,77,271,28512,452,398,225729,0.17035398230088494,0.6809045226130653,0.12631075315976237
13,60170316021.0,375,127,197217,452,398,225729,0.8296460176991151,0.31909547738693467,0.8736892468402376
14,60170316021.0,14,0,0,305,0,1689,0.04590163934426229,nan,0.0
14,60170316022.0,291,0,1689,305,0,1689,0.9540983606557377,nan,1.0
15,60170316021.0,281,160,0,281,160,0,1.0,1.0,nan
16,60170316021.0,3,0,0,3,0,0,1.0,nan,nan
17,60170305042.0,0,0,0,0,0,57387,nan,nan,0.0
17,60170316021.0,0,0,57387,0,0,57387,nan,nan,1.0
18,60170302012.0,311,250,85389,311,250,85389,1.0,1.0,1.0
19,60170302011.0,84,99,167352,101,360,198532,0.8316831683168316,0.275,0.8429472326879294
19,60170302012.0,17,261,31180,101,360,198532,0.16831683168316833,0.725,0.1570527673120706
20,60170302011.0,34,0,0,34,0,0,1.0,nan,nan
20,60170302012.0,0,0,0,34,0,0,0.0,nan,nan
20,60170303023.0,0,0,0,34,0,0,0.0,nan,nan
