TAZ,TRPAID,Residential_Units,TouristAccommodation_Units,CommercialFloorArea_SqFt,Total_Res_Units,Total_TA_Units,Total_CommercialFloorArea_SqFt,Residential_Units_Proportion,TouristAccommodation_Units_Proportion,CommercialFloorArea_SqFt_Proportion,occupied_units,vacant_units,total_units,occupancy_rate,household_size,high_income,low_income,middle_income,high_income_proportion,middle_income_proportion,low_income_proportion,adjusted_occupancy
9,0601703160132020,325,1401,34890,325,1401,34890,1.0,1.0,1.0,206.0,639.0,845.0,0.24378698224852072,2.11,33.0,123.0,50.0,0.16019417475728157,0.24271844660194175,0.5970873786407767,0.24378698224852072
10,0601703160132020,2,1299,216955,2,1299,216955,1.0,1.0,1.0,206.0,639.0,845.0,0.24378698224852072,2.11,33.0,123.0,50.0,0.16019417475728157,0.24271844660194175,0.5970873786407767,0.24378698224852072
10,0601703160212020,0,0,0,2,1299,216955,0.0,0.0,0.0,489.0,459.0,948.0,0.5158227848101266,2.7,121.0,279.0,89.0,0.2474437627811861,0.18200408997955012,0.5705521472392638,0.0
11,0601703160132020,285,678,28828,285,678,28828,1.0,1.0,1.0,206.0,639.0,845.0,0.24378698224852072,2.11,33.0,123.0,50.0,0.16019417475728157,0.24271844660194175,0.5970873786407767,0.24378698224852072
12,0601703160112020,487,54,50087,1107,259,55597,0.4399277326106594,0.2084942084942085,0.9008939331258881,313.0,356.0,669.0,0.4678624813153961,2.17,130.0,159.0,24.0,0.41533546325878595,0.07667731629392971,0.5079872204472844,0.20582568057867923
12,0601703160122020,242,193,0,1107,259,55597,0.2186088527551942,0.7451737451737451,0.0,278.0,44.0,322.0,0.8633540372670807,2.41,50.0,180.0,48.0,0.17985611510791366,0.17266187050359713,0.6474820143884892,0.1887368356085217
12,0601703160212020,112,0,0,1107,259,55597,0.1011743450767841,0.0,0.0,489.0,459.0,948.0,0.5158227848101266,2.7,121.0,279.0,89.0,0.2474437627811861,0.18200408997955012,0.5705521472392638,0.052188032428847494
12,0601703160222020,266,12,5510,1107,259,55597,0.24028906955736223,0.04633204633204633,0.09910606687411191,347.0,298.0,645.0,0.537984496124031,2.61,164.0,126.0,57.0,0.47262247838616717,0.1642651296829971,0.3631123919308357,0.12927179400992975
13,0601703160122020,77,271,28512,452,398,225729,0.17035398230088494,0.6809045226130653,0.12631075315976237,278.0,44.0,322.0,0.8633540372670807,2.41,50.0,180.0,48.0,0.17985611510791366,0.17266187050359713,0.6474820143884892,0.14707579838399382
13,0601703160212020,375,127,197217,452,398,225729,0.8296460176991151,0.31909547738693467,0.8736892468402376,489.0,459.0,948.0,0.5158227848101266,2.7,121.0,279.0,89.0,0.2474437627811861,0.18200408997955012,0.5705521472392638,0.4279503192561891
14,0601703160212020,14,0,0,305,0,1689,0.04590163934426229,nan,0.0,489.0,459.0,948.0,0.5158227848101266,2.7,121.0,279.0,89.0,0.2474437627811861,0.18200408997955012,0.5705521472392638,0.02367711143390745
14,0601703160222020,291,0,1689,305,0,1689,0.9540983606557377,nan,1.0,347.0,298.0,645.0,0.537984496124031,2.61,164.0,126.0,57.0,0.47262247838616717,0.1642651296829971,0.3631123919308357,0.513290125810141
15,0601703160212020,281,160,0,281,160,0,1.0,1.0,nan,489.0,459.0,948.0,0.5158227848101266,2.7,121.0,279.0,89.0,0.2474437627811861,0.18200408997955012,0.5705521472392638,0.5158227848101266
16,0601703160212020,3,0,0,3,0,0,1.0,nan,nan,489.0,459.0,948.0,0.5158227848101266,2.7,121.0,279.0,89.0,0.2474437627811861,0.18200408997955012,0.5705521472392638,0.5158227848101266
17,0601703050422020,0,0,0,0,0,57387,nan,nan,0.0,343.0,302.0,645.0,0.5317829457364341,1.52,105.0,190.0,48.0,0.30612244897959184,0.13994169096209913,0.5539358600583091,nan
17,0601703160212020,0,0,57387,0,0,57387,nan,nan,1.0,489.0,459.0,948.0,0.5158227848101266,2.7,121.0,279.0,89.0,0.2474437627811861,0.18200408997955012,0.5705521472392638,nan
18,0601703020122020,311,250,85389,311,250,85389,1.0,1.0,1.0,383.0,312.0,695.0,0.5510791366906475,2.75,108.0,119.0,156.0,0.2819843342036554,0.4073107049608355,0.31070496083550914,0.5510791366906475
19,0601703020112020,84,99,167352,101,360,198532,0.8316831683168316,0.275,0.8429472326879294,316.0,270.0,586.0,0.5392491467576792,2.06,79.0,141.0,96.0,0.25,0.3037974683544304,0.4462025316455696,0.4484844388875748
19,0601703020122020,17,261,31180,101,360,198532,0.16831683168316833,0.725,0.1570527673120706,383.0,312.0,695.0,0.5510791366906475,2.75,108.0,119.0,156.0,0.2819843342036554,0.4073107049608355,0.31070496083550914,0.09275589429446542
20,0601703020112020,34,0,0,34,0,0,1.0,nan,nan,316.0,270.0,586.0,0.5392491467576792,2.06,79.0,141.0,96.0,0.25,0.3037974683544304,0.4462025316455696,0.5392491467576792
20,0601703020122020,0,0,0,34,0,0,0.0,nan,nan,383.0,312.0,695.0,0.5510791366906475,2.75,108.0,119.0,156.0,0.2819843342036554,0.4073107049608355,0.31070496083550914,0.0
20,0601703030232020,0,0,0,34,0,0,0.0,nan,nan,265.0,259.0,524.0,0.5057251908396947,1.79,76.0,131.0,58.0,0.28679245283018867,0.2188679245283019,0.49433962264150944,0.0
21,0601703020112020,398,0,0,411,0,0,0.9683698296836983,nan,nan,316.0,270.0,586.0,0.5392491467576792,2.06,79.0,141.0,96.0,0.25,0.3037974683544304,0.4462025316455696,0.5221926044028135
21,0601703020122020,13,0,0,411,0,0,0.031630170316301706,nan,nan,383.0,312.0,695.0,0.5510791366906475,2.75,108.0,119.0,156.0,0.2819843342036554,0.4073107049608355,0.31070496083550914,0.017430726951285686
22,0601703020122020,0,0,0,0,0,0,nan,nan,nan,383.0,312.0,695.0,0.5510791366906475,2.75,108.0,119.0,156.0,0.2819843342036554,0.4073107049608355,0.31070496083550914,nan
23,0601703020122020,254,0,0,543,0,506,0.4677716390423573,nan,0.0,383.0,312.0,695.0,0.5510791366906475,2.75,108.0,119.0,156.0,0.2819843342036554,0.4073107049608355,0.31070496083550914,0.25777919101183144
23,0601703020212020,44,0,0,543,0,506,0.08103130755064457,nan,0.0,283.0,175.0,458.0,0.6179039301310044,2.37,164.0,107.0,12.0,0.5795053003533569,0.04240282685512368,0.37809187279151946,0.050069563399197416
23,0601703020232020,245,0,506,543,0,506,0.45119705340699817,nan,1.0,247.0,128.0,375.0,0.6586666666666666,2.45,23.0,219.0,5.0,0.0931174089068826,0.020242914979757085,0.8866396761133604,0.29718845917740944
24,0601703020122020,16,0,0,362,193,83855,0.04419889502762431,0.0,0.0,383.0,312.0,695.0,0.5510791366906475,2.75,108.0,119.0,156.0,0.2819843342036554,0.4073107049608355,0.31070496083550914,0.024357088914503753
24,0601703020132020,346,193,83855,362,193,83855,0.9558011049723757,1.0,1.0,234.0,153.0,387.0,0.6046511627906976,3.42,44.0,114.0,76.0,0.18803418803418803,0.3247863247863248,0.48717948717948717,0.5779262495181806
25,0601703020222020,226,31,0,226,31,0,1.0,1.0,nan,255.0,314.0,569.0,0.44815465729349735,2.83,108.0,119.0,28.0,0.4235294117647059,0.10980392156862745,0.4666666666666667,0.44815465729349735
26,0601703020212020,197,0,0,257,0,0,0.7665369649805448,nan,nan,283.0,175.0,458.0,0.6179039301310044,2.37,164.0,107.0,12.0,0.5795053003533569,0.04240282685512368,0.37809187279151946,0.4736462032521707
26,0601703020232020,60,0,0,257,0,0,0.23346303501945526,nan,nan,247.0,128.0,375.0,0.6586666666666666,2.45,23.0,219.0,5.0,0.0931174089068826,0.020242914979757085,0.8866396761133604,0.15377431906614786
27,0601703020112020,0,0,0,0,0,0,nan,nan,nan,316.0,270.0,586.0,0.5392491467576792,2.06,79.0,141.0,96.0,0.25,0.3037974683544304,0.4462025316455696,nan
28,0601703020112020,0,0,92095,0,0,92095,nan,nan,1.0,316.0,270.0,586.0,0.5392491467576792,2.06,79.0,141.0,96.0,0.25,0.3037974683544304,0.4462025316455696,nan
29,0601703020112020,0,0,21815,0,0,21815,nan,nan,1.0,316.0,270.0,586.0,0.5392491467576792,2.06,79.0,141.0,96.0,0.25,0.3037974683544304,0.4462025316455696,nan
30,0601703020122020,0,0,0,0,0,0,nan,nan,nan,383.0,312.0,695.0,0.5510791366906475,2.75,108.0,119.0,156.0,0.2819843342036554,0.4073107049608355,0.31070496083550914,nan
31,0601703020112020,0,0,0,0,0,0,nan,nan,nan,316.0,270.0,586.0,0.5392491467576792,2.06,79.0,141.0,96.0,0.25,0.3037974683544304,0.4462025316455696,nan
32,0601703020112020,0,0,0,0,0,0,nan,nan,nan,316.0,270.0,586.0,0.5392491467576792,2.06,79.0,141.0,96.0,0.25,0.3037974683544304,0.4462025316455696,nan
33,0601703020122020,117,0,0,117,0,0,1.0,nan,nan,383.0,312.0,695.0,0.5510791366906475,2.75,108.0,119.0,156.0,0.2819843342036554,0.4073107049608355,0.31070496083550914,0.5510791366906475
34,0601703020122020,23,0,0,374,0,0,0.06149732620320856,nan,nan,383.0,312.0,695.0,0.5510791366906475,2.75,108.0,119.0,156.0,0.2819843342036554,0.4073107049608355,0.31070496083550914,0.033889893432847304
34,0601703020212020,246,0,0,374,0,0,0.6577540106951871,nan,nan,283.0,175.0,458.0,0.6179039301310044,2.37,164.0,107.0,12.0,0.5795053003533569,0.04240282685512368,0.37809187279151946,0.40642878826798684
34,0601703020222020,105,0,0,374,0,0,0.2807486631016043,nan,nan,255.0,314.0,569.0,0.44815465729349735,2.83,108.0,119.0,28.0,0.4235294117647059,0.10980392156862745,0.4666666666666667,0.12581882089790702
35,0601703020222020,128,0,0,128,0,0,1.0,nan,nan,255.0,314.0,569.0,0.44815465729349735,2.83,108.0,119.0,28.0,0.4235294117647059,0.10980392156862745,0.4666666666666667,0.44815465729349735
36,0601703020222020,0,0,0,0,0,0,nan,nan,nan,255.0,314.0,569.0,0.44815465729349735,2.83,108.0,119.0,28.0,0.4235294117647059,0.10980392156862745,0.4666666666666667,nan
